DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	Salinity	Temperature	Pressure	Oxygen	CAST TYPE	CAST NO	NISKIN	DNA VOLUME FILT [mL]	comments	DNA.concentration.ng.uL	Eukaryotic_Fraction_from_Trimmed_Sequences_(18S/16S+18S)	plasFrac
I8S-S11-N01	I8S	11	B	20070218T00:00	82.0114	-63.259	34.7478	1.7166	951.4	198	TRACE METAL	2	1			2.19984011683882	0.2417575	0.0106785743360372
I8S-S11-N03	I8S	11	B	20070218T00:00	82.0114	-63.259	34.6775	1.9954	423.6	177.2	TRACE METAL	2	3	2200		5.78021725566187	0.13576902	0.00642673888375048
I8S-S11-N05	I8S	11	B	20070218T00:00	82.0114	-63.259	34.5563	1.8614	222.8	175.7	TRACE METAL	2	5	2200		7.80087223387931	0.17140093	0.00906907001886127
I8S-S11-N08	I8S	11	B	20070218T00:00	82.0114	-63.259	34.3624	1.0454	119.9	207	TRACE METAL	2	8	2200		9.05197559596851	0.09240886	0.0266562709144999
I8S-S11-N11	I8S	11	B	20070218T00:00	82.0114	-63.259	33.7257	0.7113	44	339.4	TRACE METAL	2	11	1000	filter very dark	32.6686300764051	0.21277759	0.111137097288154
I8S-S11-N12	I8S	11	B	20070218T00:00	82.0114	-63.259	33.7257	0.7234	19.9	339	TRACE METAL	2	12	1000	filter gummy (zoopl?)	29.7587006722901	0.15400233	0.1019955014066
I8S-S15-N01	I8S	15	B	20070219T00:00	82.006	-61.486	34.7441	1.4954	979.4	199.9	TRACE METAL	3	1	2200		3.10507758403893	0.07602069	0.00327577600104311
I8S-S15-N03	I8S	15	B	20070219T00:00	82.006	-61.486	34.7217	1.8915	487.6	185.1	TRACE METAL	3	3	2200		5.18226833353631	0.07969653	0.00484631239800322
I8S-S15-N05	I8S	15	B	20070219T00:00	82.006	-61.486	34.6525	1.9215	237.6	174.1	TRACE METAL	3	5	2200		8.67617899863709	0.08163055	0.00902349061211779
I8S-S15-N08	I8S	15	B	20070219T00:00	82.006	-61.486	34.4512	1.1483	104.2	207.7	TRACE METAL	3	8	2200		10.960224158347	0.06088226	0.0336719512349809
I8S-S15-N11	I8S	15	B	20070219T00:00	82.006	-61.486	33.8678	1.0328	41.7	330.1	TRACE METAL	3	11	1000	much of sample scraped off on lip	22.5301034691081	0.1012092	0.15197602459786
I8S-S15-N12	I8S	15	B	20070219T00:00	82.006	-61.486	33.8559	1.0387	20.7	332.6	TRACE METAL	3	12	1000		38.354133287005	0.17235178	0.152305781807468
I8S-S23-N01	I8S	23	B	20070221T00:00	82.2268	-57.915	34.7343	1.2897	952.5	203.5	TRACE METAL	3	1	1900		2.66409856805533	0.16595697	0.00452158938994426
I8S-S23-N03	I8S	23	B	20070221T00:00	82.2268	-57.915	34.7132	1.6732	425	190.5	TRACE METAL	3	3	1900		4.6082639733646	0.09156092	0.00673667255571752
I8S-S23-N05	I8S	23	B	20070221T00:00	82.2268	-57.915	34.6091	1.4294	221.5	187.9	TRACE METAL	3	5	1900		5.8134735917089	0.07291617	0.0109019356190397
I8S-S23-N08	I8S	23	B	20070221T00:00	82.2268	-57.915	34.376	0.3828	120.6	221.1	TRACE METAL	3	8	1900		10.7480487343669	0.07917828	0.033109025845687
I8S-S23-N11	I8S	23	B	20070221T00:00	82.2268	-57.915	33.8688	1.3002	41.8	331.2	TRACE METAL	3	11	1700		32.5189765641935	0.08104516	0.0993800844001796
I8S-S23-N12	I8S	23	B	20070221T00:00	82.2268	-57.915	33.8688	1.3003	21.4	331.1	TRACE METAL	3	12	1700		46.971515083511	0.26385314	0.0630335667857958
I8S-S32-N01	I8S	32	B	20070225T00:00	85.6701	-54.791	34.7082	2.1804	952.5	184.9	TRACE METAL	2	1	2200		3.07780738848036	0.05336838	0.00287229673067376
I8S-S32-N03	I8S	32	B	20070225T00:00	85.6701	-54.791	34.4069	1.9841	425.7	194.6	TRACE METAL	2	3	2200		5.96977837112994	0.21491777	0.003924523328976
I8S-S32-N05	I8S	32	B	20070225T00:00	85.6701	-54.791	34.0733	1.0852	221.4	286.6	TRACE METAL	2	5	2200		7.98710771574267	0.05168819	0.0195704103871965
I8S-S32-N08	I8S	32	B	20070225T00:00	85.6701	-54.791	33.868	1.199	118.9	333.6	TRACE METAL	2	8	2200		16.3663741461519	0.09591615	0.0416039659969112
I8S-S32-N11	I8S	32	B	20070225T00:00	85.6701	-54.791	33.8489	2.8002	41	322.8	TRACE METAL	2	11	2162		41.0013376363485	0.10091043	0.112760619678622
I8S-S32-N12	I8S	32	B	20070225T00:00	85.6701	-54.791	33.8486	2.799	17.2	321.3	TRACE METAL	2	12	2098		39.350493114974	0.1220336	0.114340826267776
I8S-S38-N01	I8S	38	B	20070227T00:00	88.3034	-52.251	34.6396	2.4064	949.1	177.9	TRACE METAL	2	1	2200		5.0525686229529	0.02211629	0.00119386256884624
I8S-S38-N03	I8S	38	B	20070227T00:00	88.3034	-52.251	34.3259	2.4386	424.2	207.5	TRACE METAL	2	3	2200		8.45269642040106	0.046174	0.0118473592611197
I8S-S38-N05	I8S	38	B	20070227T00:00	88.3034	-52.251	33.9399	0.8355	224.2	328.9	TRACE METAL	2	5	2200		18.9098187270286	0.06714367	0.0427034657193187
I8S-S38-N08	I8S	38	B	20070227T00:00	88.3034	-52.251	33.755	2.058	121.4	335	TRACE METAL	2	8	2200		19.2457077211036	0.06963844	0.0505552330366927
I8S-S38-N11	I8S	38	B	20070227T00:00	88.3034	-52.251	33.7779	3.2921	41	320.5	TRACE METAL	2	11	2200		35.3730353237494	0.06783864	0.184805541987912
I8S-S38-N12	I8S	38	B	20070227T00:00	88.3034	-52.251	33.7801	3.3975	21.8	319.2	TRACE METAL	2	12	ND	did not collect, 100m mixed lyr	0.00292655757213847	0.0546448	
I8S-S45-N23	I8S	45	B	20070301T00:00	91.2197	-49.282	34.2956	4.7271	491.3	222.9	R	1	23	2200		4.10409791889165	0.01576199	0.000741612770513106
I8S-S45-N25	I8S	45	B	20070301T00:00	91.2197	-49.282	34.2631	5.0118	390.6	233.1	R	1	25	2200		6.19525632952879	0.02313098	0.00102300847777232
I8S-S45-N29	I8S	45	B	20070301T00:00	91.2197	-49.282	33.9192	4.5479	191.2	287.4	R	1	29	2200		7.15503418784602	0.01834605	0.00392132645914848
I8S-S45-N32	I8S	45	B	20070301T00:00	91.2197	-49.282	33.7569	6.6262	92.4	299.1	R	1	32	1800		24.3858070205323	0.0252359	0.0764740306003486
I8S-S45-N33	I8S	45	B	20070301T00:00	91.2197	-49.282	33.7784	6.9762	47.4	297.2	R	1	33	1800		35.1495527455134	0.02992121	0.091108328314263
I8S-S45-N35	I8S	45	B	20070301T00:00	91.2197	-49.282	33.7789	6.9861	6	295.5	R	1	35	1800		35.2486566269336	0.02574385	0.090964445535039
I8S-S48-N01	I8S	48	B	20070302T00:00	92.3495	-47.994	34.4346	3.098	982.5	187.7	TRACE METAL	2	1	2200		2.78847726487122	0.0412792	0.00115658990860402
I8S-S48-N03	I8S	48	B	20070302T00:00	92.3495	-47.994	34.2775	4.9442	491.6	229.4	TRACE METAL	2	3	2200		4.88828232288058	0.02505091	0.000931999062481322
I8S-S48-N05	I8S	48	B	20070302T00:00	92.3495	-47.994	34.1977	6.2878	235.2	271.5	TRACE METAL	2	5	2200	small lint particle on filter	6.70075263744362	0.04685755	0.00290641850377737
