DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS [DBAR]	CAST TYPE	CAST NO	NISKIN	DNA VOLUME FILT [mL]	comments	DNA.concentration.ng.uL	Eukaryotic_Fraction_from_Trimmed_Sequences_(18S/16S+18S)
I9N-S101-N01	I9N	101	B	20070330T00:00	95.0014	-21.317	-999	1000	TRACE METAL	2	1		DNA EXTRACTED 4/21/07 EW	1.11731433825272	0.02396542
I9N-S101-N03	I9N	101	B	20070330T00:00	95.0014	-21.317	-999	499	TRACE METAL	2	3		DNA EXTRACTED 4/21/07 EW	1.44021807060281	0.05062283
I9N-S101-N06	I9N	101	B	20070330T00:00	95.0014	-21.317	-999	151	TRACE METAL	2	6		DNA EXTRACTED 4/21/07 EW	6.36086653207079	0.03591171
I9N-S101-N08	I9N	101	B	20070330T00:00	95.0014	-21.317	-999	99	TRACE METAL	2	8		DNA EXTRACTED 4/21/07 EW	17.3939373086511	0.00723118
I9N-S101-N10	I9N	101	B	20070330T00:00	95.0014	-21.317	-999	49	TRACE METAL	2	10		DNA EXTRACTED 4/21/07 EW	8.80065383266509	0.03076454
I9N-S101-N12	I9N	101	B	20070330T00:00	95.0014	-21.317	-999		TRACE METAL	2	12	ND	no water available, not collected. 	0.000105338653977998	
I9N-S107-N01	I9N	107	B	20070401T00:00	95.0028	-17.963	-999	1000	TRACE METAL	2	1		DNA EXTRACTED 4/21/07 EW	0.910681225770372	0.01753346
I9N-S107-N03	I9N	107	B	20070401T00:00	95.0028	-17.963	-999	500	TRACE METAL	2	3		DNA EXTRACTED 4/21/07 EW	2.58333519745468	0.024177
I9N-S107-N06	I9N	107	B	20070401T00:00	95.0028	-17.963	-999	150	TRACE METAL	2	6		DNA EXTRACTED 4/21/07 EW	4.17889669292234	0.02648241
I9N-S107-N08	I9N	107	B	20070401T00:00	95.0028	-17.963	-999	100	TRACE METAL	2	8		DNA EXTRACTED 4/21/07 EW	14.5402518775493	0.03314476
I9N-S107-N10	I9N	107	B	20070401T00:00	95.0028	-17.963	-999	50	TRACE METAL	2	10		DNA EXTRACTED 4/21/07 EW	11.3105826485057	0.02879187
I9N-S107-N12	I9N	107	B	20070401T00:00	95.0028	-17.963	-999	20	TRACE METAL	2	12		DNA EXTRACTED 4/21/07 EW	11.8432790210519	0.01685345
I9N-S113-N01	I9N	113	B	20070403T00:00	94.9999	-14.633	-999	1000	TRACE METAL	2	1		DNA EXTRACTED 4/22/07 EW	1.01052230152637	0.02701944
I9N-S113-N03	I9N	113	B	20070403T00:00	94.9999	-14.633	-999	500	TRACE METAL	2	3		DNA EXTRACTED 4/22/07 EW	2.51066606003735	0.02077524
I9N-S113-N06	I9N	113	B	20070403T00:00	94.9999	-14.633	-999	150	TRACE METAL	2	6		DNA EXTRACTED 4/22/07 EW	5.6278561024698	0.06352231
