sampleID	plasFrac		sampleID	plasFrac
I8S-S11-N01	0.0106785743360372		I9N-S101-N01	0.00280854739103484
I8S-S11-N03	0.00642673888375048		I9N-S101-N03	0.000626323465273675
I8S-S11-N05	0.00906907001886127		I9N-S101-N06	0.0383093090750903
I8S-S11-N08	0.0266562709144999		I9N-S101-N08	0.00945320732944296
I8S-S11-N11	0.111137097288154		I9N-S101-N10	0.0171815860598043
I8S-S11-N12	0.1019955014066		I9N-S107-N01	0.000565344144950112
I8S-S15-N01	0.00327577600104311		I9N-S107-N03	0.000464660434284332
I8S-S15-N03	0.00484631239800322		I9N-S107-N06	0.0185421685326504
I8S-S15-N05	0.00902349061211779		I9N-S107-N08	0.0518914017322013
I8S-S15-N08	0.0336719512349809		I9N-S107-N10	0.0251994839765503
I8S-S15-N11	0.15197602459786		I9N-S107-N12	0.0136661819645546
I8S-S15-N12	0.152305781807468		I9N-S113-N01	0.000698305246146567
I8S-S23-N01	0.00452158938994426		I9N-S113-N03	0.000809158904228439
I8S-S23-N03	0.00673667255571752		I9N-S113-N06	0.00826892644599877
I8S-S23-N05	0.0109019356190397		I9N-S113-N08	0.0129919661265832
I8S-S23-N08	0.033109025845687		I9N-S113-N10	0.0404882037427887
I8S-S23-N11	0.0993800844001796		I9N-S113-N12	0.00977856084374114
I8S-S23-N12	0.0630335667857958		I9N-S117-N01	0.0018431503029715
I8S-S32-N01	0.00287229673067376		I9N-S117-N03	0.000424016164002053
I8S-S32-N03	0.003924523328976		I9N-S117-N08	0.0118505538025678
I8S-S32-N05	0.0195704103871965		I9N-S117-N10	0.045611012539726
I8S-S32-N08	0.0416039659969112		I9N-S117-N12	0.0132537843763344
I8S-S32-N11	0.112760619678622		I9N-S125-N01	0.00078032562661316
I8S-S32-N12	0.114340826267776		I9N-S125-N03	0.00440132318995289
I8S-S38-N01	0.00119386256884624		I9N-S125-N06	0.00652679795252831
I8S-S38-N03	0.0118473592611197		I9N-S125-N08	0.0354947808953931
I8S-S38-N05	0.0427034657193187		I9N-S125-N10	0.0493410701560341
I8S-S38-N08	0.0505552330366927		I9N-S125-N12	0.010291264324786
I8S-S38-N11	0.184805541987912		I9N-S135-N01	0.000682796472290645
I8S-S45-N23	0.000741612770513106		I9N-S135-N03	0.000346136345557628
I8S-S45-N25	0.00102300847777232		I9N-S135-N06	0.00848483060468327
I8S-S45-N29	0.00392132645914848		I9N-S135-N08	0.0272985981843623
I8S-S45-N32	0.0764740306003486		I9N-S135-N10	0.0848174293933512
I8S-S45-N33	0.091108328314263		I9N-S135-N12	0.0264051931509242
I8S-S45-N35	0.090964445535039		I9N-S145-N01	0.00084144945323801
I8S-S48-N01	0.00115658990860402		I9N-S145-N03	0.000461464476081709
I8S-S48-N03	0.000931999062481322		I9N-S145-N06	0.00525879359235051
I8S-S48-N05	0.00290641850377737		I9N-S145-N08	0.037684528313721
I8S-S48-N08	0.0374194389101959		I9N-S145-N10	0.0307516339199094
I8S-S48-N11	0.0739681894463002		I9N-S145-N12	0.0184347710266572
I8S-S48-N12	0.0735410710279176		I9N-S162-N01	0.000359820320317833
I8S-S60-N01	0.000678008141679916		I9N-S162-N03	0.00033981716636099
I8S-S60-N03	0.00184367951105657		I9N-S162-N08	0.00211326845647619
I8S-S60-N05	0.001307942768742		I9N-S162-N10	0.0254235280787344
I8S-S60-N08	0.028492749518082		I9N-S162-N12	0.0198629095779961
I8S-S60-N11	0.0957828243377642		I9N-S193-N01	0.00106702256052979
I8S-S60-N12	0.0896743453203703		I9N-S193-N03	0.000273963433668358
I8S-S70-N01	0.00123229731040762		I9N-S193-N06	0.000199476778365227
I8S-S70-N03	0.000290012661306519		I9N-S193-N08	0.000383724303345471
I8S-S70-N05	0.000755100876653409		I9N-S193-N10	0.00724613242297037
I8S-S70-N08	0.0264784323894615		I9N-S193-N12	0.039616587784103
I8S-S70-N11	0.0396008814025461		I9N-S199-N01	0.000306302439112449
I8S-S70-N12	0.040403290771537		I9N-S199-N03	0.000506876920882132
I8S-S88-N01	0.00134122889833355		I9N-S199-N06	0.000223574817728043
I8S-S88-N03	0.000662711239901187		I9N-S199-N08	0.000381371840785098
I8S-S88-N05	0.00884333159935848		I9N-S199-N10	0.0580560466745194
I8S-S88-N08	0.0301999561059037		I9N-S199-N12	0.0135142020533847
I8S-S88-N11	0.0212017232486427		I9N-S91-N01	0.00117092083046337
I8S-S88-N12	0.0215491590925144		I9N-S91-N03	0.000441401881691523
			I9N-S91-N06	0.00409866099967042
			I9N-S91-N08	0.00753501445528095
			I9N-S91-N10	0.00418446939214391
			I9N-S91-N12	0.00310619527497819
			I9N-S95-N01	0.000573368382115227
			I9N-S95-N03	0.000714012559459092
			I9N-S95-N06	0.0321831460922168
			I9N-S95-N08	0.0183864770413924
			I9N-S95-N12	0.02607855278231
